Country,Population,Density,Size
Burundi,11890.781,463.036643302181,25679.999999999985
Comoros,869.595,467.272971520688,1860.9999999999993
Djibouti,988.002,42.6230371009491,23179.999999999996
Eritrea,3546.427,35.1131386138614,100999.99999999996
Ethiopia,114963.583,114.963583,1000000.0
Kenya,53771.3,94.4781600309238,569140.0000000003
Madagascar,27691.019,47.5958353028128,581795.0000000006
Malawi,19129.955,202.905759439966,94280.00000000003
Mauritius,1271.767,626.486206896552,2029.9999999999993
Mayotte,272.813,727.501333333333,375.0000000000001
Mozambique,31255.435,39.745968870012,786379.9999999991
Réunion,895.308,358.1232,2500.0
Rwanda,12952.209,525.018605593839,24669.99999999999
Seychelles,98.34,213.782608695652,460.0000000000004
Somalia,15893.219,25.3342987853477,627339.999999999
South Sudan,11193.729,18.3217934810877,610951.5977000013
Uganda,45741,228.922476352535,199809.9999999999
United Republic of Tanzania,59734.213,67.4353273876722,885799.9999999995
Zambia,18383.956,24.7298941336311,743389.999999999
Zimbabwe,14862.927,38.4203877471888,386850.00000000035
Angola,32866.268,26.3626116948745,1246699.9999999984
Cameroon,26545.864,56.1567641894608,472709.99999999977
Central African Republic,4829.764,7.75267905871778,622979.9999999997
Chad,16425.859,13.0446783672173,1259199.9999999981
Congo,5518.092,16.1583953147877,341500.0
Democratic Republic of the Congo,89561.404,39.5057030061093,2267049.9999999977
Equatorial Guinea,1402.985,50.0172905525847,28049.99999999998
Gabon,2225.728,8.63790119144642,257670.00000000006
Sao Tome and Principe,219.161,228.292708333333,960.0000000000014
Botswana,2351.625,4.14946270710921,566729.9999999993
Eswatini,1160.164,67.4513953488372,17200.000000000004
Lesotho,2142.252,70.5616600790514,30359.99999999999
Namibia,2540.916,3.08629523011333,823289.999999999
South Africa,59308.69,48.8905934431905,1213090.000000001
Benin,12123.198,107.513284852785,112759.99999999965
Burkina Faso,20903.278,76.4008698830409,273600.0000000001
Cabo Verde,555.988,137.962282878412,4029.9999999999977
Côte d'Ivoire,26378.275,82.9505503144654,318000.00000000006
Gambia,2416.664,238.800790513834,10120.000000000002
Ghana,31072.945,136.560363013097,227539.9999999993
Guinea,13132.792,53.446166368224,245719.99999999997
Guinea-Bissau,1967.998,69.9857041251778,28120.0
Liberia,5057.677,52.5091050664452,96319.99999999997
Mali,20250.834,16.5964595677722,1220190.0000000023
Mauritania,4649.66,4.51116716794412,1030699.999999999
Niger,24206.636,19.1099992105471,1266699.999999999
Nigeria,206139.587,226.335504024068,910769.9999999981
Saint Helena,6.071,15.5666666666667,389.99999999999915
Senegal,16743.93,86.9679011063211,192530.0
Sierra Leone,7976.985,110.515170407315,72180.00000000003
Togo,8278.737,152.210645339217,54389.99999999991
Algeria,43851.043,18.4113475862185,2381739.999999997
Egypt,102334.403,102.802152795218,995450.0000000023
Libya,6871.287,3.90516100799072,1759540.0000000023
Morocco,36910.558,82.7034685189334,446300.00000000023
Sudan,43849.269,24.8430971923001,1765048.4020000007
Tunisia,11818.618,76.0724639546859,155359.99999999997
Western Sahara,597.33,2.2456015037594,265999.9999999998
Armenia,2963.234,104.082683526519,28470.000000000036
Azerbaijan,10139.175,122.664170437223,82658.00000000016
Bahrain,1701.583,2238.925,760.0
Cyprus,1207.361,130.666774891775,9239.999999999993
Georgia,3989.175,57.406461361347,69489.99999999996
Iraq,40222.503,92.6102942530853,434319.9999999999
Israel,8655.541,399.978789279113,21639.99999999998
Jordan,10203.14,114.926109484118,88780.00000000003
Kuwait,4270.563,239.65,17820.0
Lebanon,6825.442,667.198631476051,10229.999999999996
Oman,5106.622,16.4995864297254,309499.9999999993
Qatar,2881.06,248.153316106804,11610.000000000022
Saudi Arabia,34813.867,16.1948313477757,2149690.0000000033
State of Palestine,5101.416,847.411295681063,6020.000000000001
Syrian Arab Republic,17500.657,95.3039100364864,183630.00000000003
Turkey,84339.067,109.583913049128,769629.9999999965
United Arab Emirates,9890.4,118.306220095694,83599.99999999984
Yemen,29825.968,56.4917855181166,527969.9999999997
Kazakhstan,18776.707,6.95510871578324,2699699.999999998
Kyrgyzstan,6524.191,34.0155943691345,191800.0000000001
Tajikistan,9537.642,68.1454844241212,139959.99999999997
Turkmenistan,6031.187,12.8342242461643,469930.0000000008
Uzbekistan,33469.199,78.6770075223319,425400.0000000001
Afghanistan,38928.341,59.6273948472873,652860.0000000002
Bangladesh,164689.383,1265.18693247292,130169.99999999999
Bhutan,771.612,20.2432510428418,38116.999999999956
India,1380004.385,464.149410229417,2973189.999999999
Iran,83992.953,51.5752988855117,1628549.9999999984
Maldives,540.542,1801.80666666667,299.99999999999943
Nepal,29136.808,203.256421346355,143350.00000000006
Pakistan,220892.331,286.545676369863,770880.0000000001
