date_deces,nbr_deces
1882-10-01,1
1886-10-01,1
1889-07-04,1
1889-10-06,1
1890-07-16,1
1891-01-23,1
1891-02-28,1
1891-03-02,1
1891-03-28,1
1891-06-22,1
1891-10-19,1
1891-11-10,1
1892-03-25,1
1892-04-05,1
1892-05-27,1
1892-09-06,1
1892-10-11,1
1893-02-18,1
1893-05-25,1
1893-08-20,1
1893-09-02,1
1893-09-29,1
1894-01-04,1
1894-01-06,2
1894-01-10,1
1894-03-18,1
1894-03-26,1
1894-05-01,1
1894-05-10,1
1894-05-11,1
1894-06-06,1
1894-10-01,1
1894-12-16,1
1895-02-06,1
1895-03-02,1
1895-07-08,1
1896-01-31,1
1896-05-02,1
1896-10-03,1
1898-03-24,1
1898-10-04,1
1899-01-12,1
1900-01-16,1
1900-01-30,1
1900-03-19,1
1900-10-01,1
1900-10-23,1
1900-12-26,1
1901-01-23,1
1901-03-22,1
1901-10-01,1
1901-10-04,1
1902-01-01,1
1902-01-19,1
1902-06-06,1
1902-08-10,1
1902-10-07,1
1902-11-13,1
1903-06-01,2
1903-10-02,1
1903-11-15,1
1904-06-06,1
1904-09-22,1
1904-10-13,1
1904-11-03,1
1905-04-03,1
1905-06-20,2
1906-02-12,2
1906-03-14,1
1906-07-13,1
1906-07-16,1
1906-09-10,1
1906-10-21,1
1906-12-31,1
1907-03-02,1
1907-05-22,1
1907-11-27,1
1908-02-19,2
1908-04-11,1
1908-04-18,1
1908-10-06,1
1908-11-21,1
1908-12-08,1
1909-01-03,1
1909-09-16,1
1909-10-03,1
1909-10-09,1
1909-12-21,1
1910-01-25,1
1910-05-15,1
1910-10-17,1
1910-11-09,1
1911-03-19,1
1911-04-13,1
1911-04-28,1
1911-07-02,1
1911-07-05,1
1911-08-09,1
1911-08-15,1
1911-09-07,1
1911-11-12,1
1911-11-14,1
1911-12-05,1
1912-01-01,1
1912-03-29,1
1912-05-24,1
1912-05-29,1
1912-10-14,1
1912-11-23,1
1913-01-26,1
1913-06-08,1
1913-10-12,1
1913-12-26,1
1914-03-11,1
1914-04-29,1
1914-07-07,1
1914-08-01,1
1914-08-19,2
1914-08-26,1
1914-08-30,1
1914-09-29,1
1914-10-02,1
1914-10-04,1
1914-10-27,1
1914-11-10,1
1914-11-19,1
1914-11-22,1
1914-12-12,1
1914-12-18,1
1914-12-26,1
1915-01-16,1
1915-01-27,1
1915-03-16,1
1915-03-31,1
1915-04-16,1
1915-04-24,1
1915-06-15,1
1915-09-25,1
1915-11-14,1
1915-11-16,1
1915-12-04,1
1916-01-01,1
1916-02-01,1
1916-04-02,1
1916-05-07,1
1916-05-16,1
1916-06-06,1
1916-06-15,1
1916-10-29,1
1916-12-13,1
1917-02-20,1
1917-03-26,1
1917-03-30,1
1917-05-07,1
1917-08-01,1
1917-08-19,1
1917-10-27,1
1918-01-01,1
1918-04-09,1
1918-04-30,1
1918-05-18,1
1918-07-13,1
1918-10-03,1
1918-10-04,1
1918-10-13,1
1919-01-05,1
1919-04-01,1
1919-05-03,2
1919-07-07,1
1919-07-13,1
1919-08-01,2
1919-10-02,1
1920-03-05,1
1920-03-22,1
1920-03-23,1
1920-04-23,1
1920-08-19,1
1920-09-12,1
1920-09-29,1
1920-12-08,1
1920-12-22,1
1921-01-01,2
1921-07-15,1
1921-08-22,1
1921-12-06,2
1921-12-13,1
1921-12-16,1
1921-12-28,1
1922-01-06,1
1922-01-07,1
1922-02-07,1
1922-02-12,1
1922-05-07,1
1922-06-01,1
1922-06-06,1
1922-07-29,1
1922-08-24,1
1922-09-16,1
1922-09-21,1
1922-12-13,1
1922-12-19,1
1923-02-26,1
1923-04-19,2
1923-04-22,1
1923-05-07,1
1923-05-13,1
1923-06-24,1
1923-07-30,1
1923-09-03,1
1923-10-01,1
1923-10-17,1
1923-12-18,1
1924-02-03,1
1924-02-16,1
1924-05-08,1
1924-06-15,1
1924-08-31,1
1924-10-03,1
1924-10-06,1
1924-10-19,1
1924-11-12,1
1925-01-20,2
1925-02-15,1
1925-05-18,1
1925-06-04,1
1925-06-11,1
1925-06-23,1
1925-09-08,1
1925-11-15,1
1925-11-17,1
1925-12-01,1
1925-12-29,1
1925-12-31,1
1926-01-01,1
1926-01-17,1
1926-02-20,1
1926-02-21,1
1926-07-06,1
1926-07-26,1
1926-09-29,1
1926-10-11,1
1926-10-27,1
1926-11-11,1
1926-12-06,1
1926-12-17,1
1927-01-05,1
1927-02-09,1
1927-03-09,1
1927-03-11,1
1927-04-22,1
1927-05-03,1
1927-08-22,1
1927-09-14,1
1927-10-05,1
1927-10-08,1
1927-10-12,1
1927-10-20,1
1927-10-24,1
1928-01-01,2
1928-01-06,1
1928-01-24,1
1928-03-11,1
1928-03-29,1
1928-05-18,1
1928-05-25,1
1928-06-09,1
1928-06-23,1
1928-07-14,1
1928-07-25,1
1928-08-30,1
1928-09-01,1
1928-09-13,1
1928-09-19,1
1928-10-23,1
1928-11-05,1
1928-12-01,1
1929-01-01,1
1929-01-17,1
1929-01-23,1
1929-02-28,1
1929-03-14,1
1929-05-04,1
1929-05-22,1
1929-08-16,1
1929-09-07,2
1929-12-03,1
1929-12-07,1
1930-01-25,1
1930-04-28,1
1930-05-25,1
1930-06-03,1
1930-06-05,1
1930-06-08,1
1930-06-28,1
1930-07-05,1
1930-07-06,1
1930-07-20,1
1930-07-23,1
1930-08-01,1
1930-08-11,1
1930-10-19,1
1930-11-03,1
1930-11-12,1
1930-12-09,2
1930-12-11,1
1931-01-01,1
1931-03-27,1
1931-06-29,2
1931-07-05,1
1931-07-08,1
1931-07-17,1
1931-08-21,1
1931-10-13,1
1931-12-11,1
1931-12-19,1
1932,1
1932-01-06,1
1932-01-21,1
1932-03-07,1
1932-03-11,2
1932-04-09,1
1932-04-30,1
1932-08-02,1
1932-08-24,1
1932-10-24,1
1932-10-26,1
1932-11-16,1
1932-11-28,1
1933-01-10,1
1933-01-19,1
1933-01-25,1
1933-02-05,1
1933-04-02,1
1933-04-27,1
1933-05-10,1
1933-05-11,1
1933-05-30,1
1933-06-08,1
1933-06-10,1
1933-07-22,1
1933-07-28,1
1933-08-13,1
1933-08-14,1
1933-09-13,1
1933-10-04,1
1933-11-19,1
1933-11-20,1
1934-01-16,1
1934-01-20,1
1934-01-24,1
1934-02-21,1
1934-03-13,1
1934-04-02,1
1934-04-16,1
1934-06-07,1
1934-08-10,1
1934-09-12,1
1934-10-19,1
1934-10-22,1
1934-12-31,1
1935-01-01,1
1935-01-21,1
1935-02-03,1
1935-02-08,1
1935-03-08,1
1935-05-31,1
1935-06-15,1
1935-07-10,1
1935-09-11,1
1935-09-21,1
1935-10-04,1
1935-10-10,1
1935-12-02,1
1935-12-18,1
1935-12-31,1
1936-01-01,1
1936-01-19,1
1936-02-15,1
1936-05-03,1
1936-05-10,1
1936-05-12,1
1936-05-28,1
1936-06-12,1
1936-07-21,1
1936-09-26,1
1936-10-13,1
1936-10-21,1
1936-12-05,1
1937-03-03,1
1937-03-08,1
1937-03-19,1
1937-04-03,1
1937-05-16,1
1937-07-04,1
1937-08-01,1
1937-08-02,1
1937-08-12,1
1937-08-16,1
1937-08-25,1
1937-09-09,1
1937-10-01,1
1937-10-06,1
1937-10-09,1
1937-11-13,1
1937-11-24,1
1937-11-28,1
1937-12-29,2
1937-12-30,1
1938-01-05,1
1938-01-10,1
1938-02-23,1
1938-03-08,1
1938-03-14,1
1938-05-19,1
1938-05-23,1
1938-06-09,1
1938-06-18,1
1938-06-25,1
1938-07-06,1
1938-07-12,1
1938-07-23,1
1938-07-25,1
1938-08-20,1
1938-08-25,1
1938-09-17,1
1938-11-21,1
1938-12-27,1
1938-12-30,1
1938-12-31,1
1939-01-18,1
1939-03-15,2
1939-04-28,1
1939-06-19,1
1939-07-26,1
1939-09-06,1
1939-09-20,1
1939-11-27,1
1939-12-31,1
1940-01,1
1940-01-01,2
1940-01-26,1
1940-01-31,1
1940-02-06,1
1940-02-08,1
1940-02-09,1
1940-02-24,1
1940-03-29,1
1940-03-31,1
1940-04-08,1
1940-04-12,1
1940-04-26,1
1940-05-01,1
1940-05-04,1
1940-05-10,3
1940-05-13,1
1940-05-16,1
1940-05-17,1
1940-05-20,2
1940-05-31,1
1940-06-03,1
1940-06-10,2
1940-06-12,1
1940-06-17,1
1940-06-19,1
1940-07-02,1
1940-07-05,1
1940-07-16,1
1940-07-20,1
1940-08-03,1
1940-08-28,1
1940-09-14,1
1940-09-15,1
1940-10-10,1
1940-10-12,1
1940-11-10,2
1940-11-15,1
1940-12-04,1
1940-12-10,1
1940-12-14,1
1940-12-21,1
1940-12-26,1
1941-01-01,1
1941-02-21,2
1941-03-04,1
1941-03-14,1
1941-03-24,1
1941-03-25,1
1941-04-05,1
1941-05-02,1
1941-05-28,1
1941-06-18,1
1941-06-21,1
1941-06-27,1
1941-07-08,1
1941-07-17,1
1941-07-21,1
1941-07-25,1
1941-09-05,1
1941-09-10,2
1941-09-13,1
1941-09-19,1
1941-10-21,1
1941-10-23,1
1941-10-28,1
1941-10-31,1
1941-11-05,1
1941-11-08,1
1941-11-13,1
1941-11-14,1
1941-11-15,1
1941-11-24,1
1941-11-27,1
1941-11-30,1
1941-12-09,1
1941-12-10,1
1941-12-16,1
1941-12-28,1
1941-12-30,1
1942-01-01,2
1942-01-04,1
1942-01-09,1
1942-01-10,2
1942-01-13,1
1942-01-14,1
1942-01-25,1
1942-01-26,1
1942-02-02,2
1942-02-06,1
1942-02-10,1
1942-02-21,1
1942-03-07,1
1942-03-08,1
1942-03-24,1
1942-04-01,10
1942-04-05,2
1942-04-08,1
1942-04-09,1
1942-04-12,1
1942-04-14,3
1942-04-15,2
1942-04-22,1
1942-04-24,1
1942-04-30,1
1942-05-06,1
1942-05-13,1
1942-05-19,1
1942-05-29,1
1942-06-03,1
1942-06-09,1
1942-06-10,8
1942-06-18,1
1942-06-23,1
1942-06-27,15
1942-06-30,26
1942-07-02,2
1942-07-03,21
1942-07-05,1
1942-07-07,1
1942-07-10,1
1942-07-11,2
1942-07-18,2
1942-07-20,1
1942-07-21,1
1942-07-22,43
1942-07-24,76
1942-07-25,72
1942-07-27,88
1942-07-28,3
1942-07-29,94
1942-07-30,2
1942-07-31,2
1942-08-01,74
1942-08-02,1
1942-08-03,81
1942-08-04,1
1942-08-05,189
1942-08-06,1
1942-08-07,7
1942-08-08,158
1942-08-09,2
1942-08-10,215
1942-08-11,5
1942-08-12,83
1942-08-13,3
1942-08-14,1
1942-08-15,24
1942-08-16,1
1942-08-17,17
1942-08-18,3
1942-08-19,40
1942-08-20,20
1942-08-21,19
1942-08-22,40
1942-08-23,2
1942-08-24,41
1942-08-25,2
1942-08-26,42
1942-08-27,4
1942-08-28,2
1942-08-29,62
1942-08-30,5
1942-08-31,48
1942-09-01,26
1942-09-02,55
1942-09-03,4
1942-09-04,6
1942-09-05,36
1942-09-06,1
1942-09-07,34
1942-09-09,35
1942-09-10,2
1942-09-11,1
1942-09-12,48
1942-09-13,1
1942-09-14,44
1942-09-15,3
1942-09-16,46
1942-09-17,3
1942-09-18,5
1942-09-19,57
1942-09-20,16
1942-09-21,52
1942-09-22,3
1942-09-23,37
1942-09-24,2
1942-09-25,8
1942-09-26,28
1942-09-27,4
1942-09-28,35
1942-09-29,1
1942-09-30,51
1942-10-01,3
1942-10-03,65
1942-10-05,9
1942-10-07,1
1942-10-08,1
1942-10-09,2
1942-10-10,2
1942-10-12,1
1942-10-13,1
1942-10-14,1
1942-10-15,3
1942-10-16,1
1942-10-17,1
1942-10-20,1
1942-11,2
1942-11-02,1
1942-11-08,1
1942-11-09,72
1942-11-10,1
1942-11-11,52
1942-11-12,1
1942-11-14,74
1942-11-16,46
1942-11-19,1
1942-11-26,1
1942-11-27,1
1942-12-01,3
1942-12-02,1
1942-12-03,1
1942-12-04,1
1942-12-15,1
1942-12-19,1
1942-12-20,1
1942-12-28,1
1942-12-31,2
1943,2
1943-01-01,6
1943-01-08,1
1943-01-16,1
1943-01-19,1
1943-01-21,1
1943-01-25,1
1943-02-03,1
1943-02-09,1
1943-02-11,1
1943-02-14,56
1943-02-16,54
1943-02-18,23
1943-02-20,1
1943-02-21,1
1943-02-25,2
1943-02-28,1
1943-03-02,1
1943-03-06,1
1943-03-07,67
1943-03-09,44
1943-03-11,54
1943-03-12,1
1943-03-21,1
1943-03-28,65
1943-03-30,44
1943-04,1
1943-04-01,2
1943-04-09,1
1943-04-10,1
1943-05-02,1
1943-06-01,1
1943-06-07,1
1943-06-13,1
1943-06-26,1
1943-06-28,35
1943-07-06,1
1943-07-23,29
1943-07-28,1
1943-07-31,1
1943-08-02,1
1943-08-04,1
1943-08-05,36
1943-08-08,1
1943-08-11,1
1943-08-14,1
1943-08-16,1
1943-08-17,1
1943-09-07,31
1943-09-08,1
1943-09-10,1
1943-09-14,1
1943-09-15,1
1943-09-17,1
1943-10-01,1
1943-10-12,37
1943-10-22,1
1943-11-02,47
1943-11-07,1
1943-11-23,2
1943-11-25,35
1943-11-26,1
1943-12-09,1
1943-12-12,40
1943-12-16,3
1943-12-17,1
1943-12-18,1
1943-12-22,38
1943-12-25,1
1943-12-26,1
1943-12-28,1
1944,1
1944-01-01,1
1944-01-02,1
1944-01-05,2
1944-01-07,2
1944-01-11,1
1944-01-17,1
1944-01-20,2
1944-01-22,1
1944-01-23,1
1944-01-25,42
1944-01-27,3
1944-01-29,1
1944-01-30,1
1944-02-01,1
1944-02-07,1
1944-02-08,61
1944-02-09,1
1944-02-14,1
1944-02-15,48
1944-02-18,1
1944-02-21,2
1944-02-22,1
1944-02-24,1
1944-02-25,2
1944-02-28,1
1944-03-01,2
1944-03-05,1
1944-03-07,1
1944-03-08,1
1944-03-12,53
1944-03-14,1
1944-03-20,1
1944-03-22,1
1944-03-26,1
1944-03-31,1
1944-04-01,39
1944-04-02,1
1944-04-09,1
1944-04-11,2
1944-04-18,29
1944-04-19,1
1944-04-20,1
1944-04-21,1
1944-04-23,1
1944-04-26,1
1944-04-27,2
1944-04-28,1
1944-04-29,1
1944-05,1
1944-05-02,1
1944-05-04,70
1944-05-06,2
1944-05-09,1
1944-05-10,2
1944-05-15,1
1944-05-20,53
1944-05-21,2
1944-05-25,45
1944-05-26,2
1944-05-27,1
1944-05-28,1
1944-05-30,1
1944-06,1
1944-06-03,1
1944-06-04,38
1944-06-06,1
1944-06-07,1
1944-06-08,1
1944-06-10,1
1944-06-17,1
1944-06-21,1
1944-06-24,2
1944-06-28,1
1944-06-30,1
1944-07,1
1944-07-01,1
1944-07-02,2
1944-07-03,2
1944-07-05,28
1944-07-07,1
1944-07-10,1
1944-07-15,1
1944-07-23,1
1944-07-27,2
1944-08,1
1944-08-01,1
1944-08-05,41
1944-08-06,2
1944-08-07,1
1944-08-11,2
1944-08-12,1
1944-08-14,2
1944-08-16,3
1944-08-19,1
1944-08-20,3
1944-08-22,1
1944-08-24,1
1944-08-28,1
1944-08-30,2
1944-08-31,1
1944-09-06,1
1944-09-09,1
1944-09-10,1
1944-09-12,1
1944-09-14,1
1944-09-15,1
1944-09-25,1
1944-10-01,1
1944-10-03,1
1944-10-12,1
1944-10-17,2
