,country,date,case,death,population,density,size,ratio,ratio_death,start_date,start_death_date,age,age_death
1512.0,China,2020-01-22,548.0,17.0,1439323.774,153.311826289375,9388211.000000004,0.038073434893461294,0.0011811102065489817,2020-01-30,2020-01-22,-8.0,0.0
1513.0,China,2020-01-23,643.0,18.0,1439323.774,153.311826289375,9388211.000000004,0.044673756635940906,0.0012505872775224513,2020-01-30,2020-01-22,-7.0,1.0
1514.0,China,2020-01-24,920.0,26.0,1439323.774,153.311826289375,9388211.000000004,0.06391890529559195,0.0018064038453102073,2020-01-30,2020-01-22,-6.0,2.0
1515.0,China,2020-01-25,1406.0,42.0,1439323.774,153.311826289375,9388211.000000004,0.09768476178869814,0.0029180369808857196,2020-01-30,2020-01-22,-5.0,3.0
1516.0,China,2020-01-26,2075.0,56.0,1439323.774,153.311826289375,9388211.000000004,0.14416492226994926,0.003890715974514293,2020-01-30,2020-01-22,-4.0,4.0
1517.0,China,2020-01-27,2877.0,82.0,1439323.774,153.311826289375,9388211.000000004,0.19988553319067182,0.0056971198198245004,2020-01-30,2020-01-22,-3.0,5.0
1518.0,China,2020-01-28,5509.0,131.0,1439323.774,153.311826289375,9388211.000000004,0.3827491839928436,0.009101496297524507,2020-01-30,2020-01-22,-2.0,6.0
1519.0,China,2020-01-29,6087.0,133.0,1439323.774,153.311826289375,9388211.000000004,0.4229069310155089,0.009240450439471446,2020-01-30,2020-01-22,-1.0,7.0
1520.0,China,2020-01-30,8141.0,171.0,1439323.774,153.311826289375,9388211.000000004,0.5656128347950153,0.011880579136463287,2020-01-30,2020-01-22,0.0,8.0
1521.0,China,2020-01-31,9802.0,213.0,1439323.774,153.311826289375,9388211.000000004,0.6810142496819482,0.014798616117349008,2020-01-30,2020-01-22,1.0,9.0
1522.0,China,2020-02-01,11891.0,259.0,1439323.774,153.311826289375,9388211.000000004,0.826151850945526,0.017994561382128606,2020-01-30,2020-01-22,2.0,10.0
1523.0,China,2020-02-02,16630.0,361.0,1439323.774,153.311826289375,9388211.000000004,1.155403690288798,0.025081222621422497,2020-01-30,2020-01-22,3.0,11.0
1524.0,China,2020-02-03,19716.0,425.0,1439323.774,153.311826289375,9388211.000000004,1.369809931312925,0.029527755163724547,2020-01-30,2020-01-22,4.0,12.0
1525.0,China,2020-02-04,23707.0,491.0,1439323.774,153.311826289375,9388211.000000004,1.647092921568042,0.034113241847973534,2020-01-30,2020-01-22,5.0,13.0
1526.0,China,2020-02-05,27440.0,563.0,1439323.774,153.311826289375,9388211.000000004,1.9064508275120036,0.039115590958063336,2020-01-30,2020-01-22,6.0,14.0
1527.0,China,2020-02-06,30587.0,633.0,1439323.774,153.311826289375,9388211.000000004,2.125095169865512,0.04397898592620621,2020-01-30,2020-01-22,7.0,15.0
